"item","n","correct","incorrect","proportion_correct","C","Dxy","tied_pair_fraction","Cplus","concordance_pair_numerator","pad1","pad2","rarity_factor","discrimination_factor","raw_weight","operational_weight","share","constant","small_group","score_type"
"Item01",2922,2345,577,0.802532511978097,0.662698022637493,0.325396045274987,0.0574791307143411,0.325396045274987,950.807244293512,0.802600068422853,0.674715277354255,1.21989873589783,1.39346448842406,1.69988556794702,1.09517513675761,0.0297905866252213,FALSE,FALSE,"rest"
"Item02",2922,2426,496,0.83025325119781,0.632875867616945,0.265751735233891,0.0587752306996782,0.265751735233891,776.526570353429,0.83031132398221,0.734339182225991,1.18595455938464,1.30878425597814,1.55215865562811,1,0.0272016644875813,FALSE,FALSE,"rest"
"Item03",2922,1693,1229,0.579397672826831,0.662595755172425,0.325191510344851,0.0597722782317656,0.325191510344851,950.209593227654,0.579541566883339,0.674919742310074,1.54551788989925,1.39316149546018,2.15315601475249,1.38720098421973,0.0377341757495877,FALSE,FALSE,"rest"
"Item04",2922,2062,860,0.705681040383299,0.706186418694877,0.412372837389755,0.0559069993007466,0.412372837389755,1204.95343085286,0.705781731098187,0.587768241240895,1.34844925203999,1.53142255632957,2.06504560063979,1.33043461320913,0.0361900359711796,FALSE,FALSE,"rest"
"Item05",2922,2592,330,0.887063655030801,0.725945800598578,0.451891601197157,0.0497708567153012,0.451891601197157,1320.42725869809,0.887102292165583,0.548262997366373,1.11979497957258,1.60100018495854,1.79279196941135,1.15503138993601,0.031418776341664,FALSE,FALSE,"rest"
"Item06",2922,2494,428,0.853524982888433,0.711964321849073,0.423928643698147,0.0528061740701047,0.423928643698147,1238.71949688598,0.853575094081423,0.576216388338698,1.15832175692563,1.551272014635,1.79687212546157,1.15766008774047,0.0314902812973802,FALSE,FALSE,"rest"
"Item07",2922,2107,815,0.721081451060917,0.747549651905276,0.495099303810553,0.0538130275651422,0.495099303810553,1446.68016573443,0.721176873075607,0.505070076724449,1.32687085544999,1.68305809354287,2.23320073235126,1.43877091704105,0.0391369637598403,FALSE,FALSE,"rest"
"Item08",2922,2624,298,0.898015058179329,0.684832317073171,0.369664634146341,0.0548908372892454,0.369664634146341,1080.16006097561,0.89804994868286,0.630461833398697,1.10752959008552,1.46130265927349,1.61843593521605,1.04270006764297,0.0283631774012024,FALSE,FALSE,"rest"
"Item09",2922,2052,870,0.702258726899384,0.661175528220295,0.322351056440591,0.0587999372633371,0.322351056440591,941.909786919406,0.702360588436538,0.677759224454531,1.35330834809231,1.38896318028723,1.87969546707556,1.21102018808438,0.0329417648439589,FALSE,FALSE,"rest"
"Item10",2922,1924,998,0.65845311430527,0.694195824080594,0.388391648161187,0.0579865552310442,0.388391648161187,1134.88039592699,0.658569962367431,0.611741226162508,1.41768451838936,1.49144591895672,2.11439978931993,1.36223174200211,0.0370549708002747,FALSE,FALSE,"rest"
"Item11",2922,2106,816,0.720739219712526,0.723899851963577,0.447799703927155,0.0555369346219019,0.447799703927155,1308.47073487515,0.720834758809442,0.552353494739943,1.32734535130706,1.59356704864496,2.11521381401499,1.36275618883755,0.0370692366271341,FALSE,FALSE,"rest"
"Item12",2922,1266,1656,0.433264887063655,0.756218948187833,0.512437896375667,0.0568214773603193,0.512437896375667,1497.3435332097,0.433458775230927,0.487737415939207,1.83595858479011,1.7179781000389,3.15413664124782,2.0320968026116,0.0552764154309276,FALSE,FALSE,"rest"
"Item13",2922,2205,717,0.754620123203285,0.680128527468635,0.36025705493727,0.05729213117139,0.36025705493727,1052.6711145267,0.754704071159767,0.63986619414071,1.2814295652978,1.44649619614208,1.85358299182727,1.19419685939076,0.0324841423012706,FALSE,FALSE,"rest"
"Item14",2922,1903,1019,0.651266255989049,0.655062483336831,0.310124966673663,0.0594536698163171,0.310124966673663,906.185152620443,0.651385562777968,0.68998113150173,1.42865354975994,1.3710910274144,1.95881406335958,1.26199345424962,0.0343283225280221,FALSE,FALSE,"rest"
"Item15",2922,2577,345,0.881930184804928,0.754905996749394,0.509811993498788,0.0479908668095134,0.509811993498788,1489.67064500346,0.88197057817311,0.49036242045725,1.12559658161211,1.71261052768536,1.92770855559556,1.2419532942755,0.0337831968201284,FALSE,FALSE,"rest"
"Item16",2922,2058,864,0.704312114989733,0.71370982255336,0.42741964510672,0.0563519058417018,0.42741964510672,1248.92020300184,0.704413274033527,0.57272658125151,1.35039005808346,1.55734684674025,2.10302569882565,1.35490382455434,0.0368556392484678,FALSE,FALSE,"rest"
