"item","n_patterns","patterns","p_correct_mean","p_correct_sd","p_correct_min","p_correct_max","dxy_form_mean","dxy_form_sd","dxy_form_min","dxy_form_max","raw_weight_form_mean","raw_weight_form_sd","raw_weight_form_cv","raw_weight_form_min","raw_weight_form_max","min1_weight_mean","min1_weight_sd","common_rest_item_count_min","dxy_common_mean","dxy_common_sd","raw_weight_common_mean","raw_weight_common_sd","raw_weight_common_cv"
"pm00fq01",4,"PATTERN01;PATTERN06;PATTERN07;PATTERN09",0.374174778619304,0.0364408486133337,0.326436781609195,0.406698564593301,0.533753877885671,0.0351439879998468,0.498555555555556,0.567346055857328,3.49655561788303,0.275281025023698,0.0787291995630734,3.23918147779474,3.88026023368483,1.99743151713638,0.12534088048267,11,0.482076790693674,0.0482011353098125,3.29639931461457,0.359496541689217,0.109057340260748
"pm00gq01",4,"PATTERN02;PATTERN04;PATTERN09;PATTERN12",0.0553983104601878,0.00773572207202722,0.0482233502538071,0.0646651270207852,0.760652028355202,0.126828438903689,0.593684210526316,0.902261904761905,9.78522988152611,2.32903815663773,0.23801568127028,7.55577271907155,13.0631985576652,5.72408126497738,2.01190200785604,9,0.721971819727776,0.132094367049955,9.10959467741782,1.91878125431774,0.210632999849521
"pm00kq02",4,"PATTERN07;PATTERN08;PATTERN11;PATTERN12",0.0687152854895033,0.00610217361564922,0.0628019323671498,0.0761245674740484,0.617656901435291,0.212646903445596,0.316514670896114,0.817160367722165,7.48922255196126,1.78359960278318,0.238155508186373,5.14866002612621,9.48577117059895,4.4770740046729,1.13396450747066,10,0.550754120639293,0.164650262234009,6.68550216275204,1.08416937418929,0.162167231091434
"pm033q01",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.731433871157747,0.0244976008879929,0.711864406779661,0.764434180138568,0.358779451042857,0.0286514392798079,0.322092391304348,0.387014428412875,1.89402947289463,0.0746085832146823,0.0393914584130829,1.81255667559225,1.98673391809595,1.11631390099369,0.156705046721468,8,0.358318231261696,0.0324820912977392,1.89393535441248,0.0974147918253398,0.0514351197882142
"pm034q01t",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.326660656704066,0.0448694456725347,0.284745762711864,0.383908045977012,0.560959777655751,0.0346463270588608,0.511669024045261,0.589990972692394,3.86585310255391,0.359580138460181,0.0930144340514724,3.55006480858783,4.24081060454352,2.28691162695632,0.452802983279636,8,0.522779545725963,0.0374887238989916,3.69292364513416,0.385935549571573,0.104506777463457
"pm155q01",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.685055879936108,0.0532880353394339,0.616949152542373,0.747126436781609,0.551236678715175,0.0990080928432518,0.417232237539767,0.6558229352347,2.50504190472016,0.340195085808001,0.135804149689865,2.10526320983156,2.83751119814643,1.47975191090268,0.311043201326803,8,0.50166252449201,0.0641780565935669,2.34456803487846,0.222919351727431,0.0950790714584604
"pm155q04t",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.539549524169218,0.0508939405446422,0.491525423728814,0.611494252873563,0.360866462474691,0.0641374617033221,0.268789808917197,0.416067608044502,2.34552836500083,0.212766875262448,0.0907117042101397,2.14417027613989,2.53988135408468,1.38620203775255,0.261858402835329,8,0.350317541557382,0.0588164954110214,2.31926001278799,0.220083591899367,0.0948938845519109
"pm192q01t",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.364261784402143,0.0075658404812767,0.356643356643357,0.374712643678161,0.562516376366581,0.033087143326794,0.522946859903382,0.5901113913409,3.65848963726074,0.124476733242672,0.0340240770330219,3.52178648605952,3.79074895873569,2.05044314309261,0.109512656243524,10,0.515133141189934,0.0624181174899747,3.46178523379369,0.248240313996901,0.0717087563877729
"pm273q01t",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.489621877935248,0.0367574102629496,0.457627118644068,0.529691211401425,0.417247471446067,0.0574174342047333,0.369139828781084,0.500046296296296,2.64618064437032,0.272726512662187,0.103064208122905,2.38353735495126,3.00408334292793,1.72024365316744,0.255088881502086,11,0.386870266948883,0.0656542132828684,2.56149284038875,0.289209126227929,0.112906474563496
"pm305q01",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.451409213245801,0.0451288064733379,0.401384083044983,0.489655172413793,0.226144520674019,0.0565518869203731,0.179995651228528,0.297297297297297,2.2571147993049,0.165513353717888,0.0733296125517668,2.05077785246025,2.44413629458582,1.26414936748755,0.0902648292283227,10,0.196413642327064,0.029181630514544,2.18682685848347,0.114412303085611,0.0523188667826014
"pm406q01",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.16516994640756,0.0230139048677321,0.139372822299652,0.193103448275862,0.677603747212281,0.118443538708227,0.577655119908641,0.842349726775956,6.13701562465984,1.39160687590311,0.226756286933886,5.08937381391808,8.03820520478967,3.42728265524421,0.719331996239577,10,0.635106488767974,0.0829039464456516,5.66743206293377,0.868801469287768,0.153297200502837
"pm406q02",4,"PATTERN01;PATTERN03;PATTERN12;PATTERN13",0.0946319434598673,0.00744063155506752,0.0865051903114187,0.104529616724739,0.84138107710654,0.0292047886660054,0.798811439891049,0.862121212121212,9.4574104117226,0.647798757354491,0.0684964201777196,8.66538313364177,10.0990465197082,5.32056588386341,0.687480191867508,10,0.810231737235428,0.0273425663855263,8.84957804529679,0.332137405777644,0.037531439813016
"pm408q01t",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.33265713009966,0.0213839336955011,0.318181818181818,0.363636363636364,0.53536084482545,0.0816578147963022,0.43555793662942,0.603271336235325,3.71880600892111,0.343060674311463,0.0922502204977856,3.30247035344084,4.11074322729338,2.40428274787836,0.152168588892042,11,0.488030332016128,0.0928479253384785,3.52206866956184,0.408470515674525,0.115974602995273
"pm411q01",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.461795116625092,0.0456937568999606,0.4,0.510344827586207,0.583505414837479,0.0900600872283772,0.488206902832165,0.666899293659857,3.34021550087703,0.299338363199913,0.089616482266284,2.92570302927149,3.60775124586313,1.96301401350332,0.265434689432806,8,0.516021358231971,0.0332533720256286,3.05423646110389,0.13014306486769,0.0426106709565809
"pm411q02",4,"PATTERN01;PATTERN02;PATTERN10;PATTERN11",0.477646496036738,0.0213929762883279,0.457912457912458,0.508045977011494,0.429420366753197,0.126420811459567,0.244747899159664,0.522983888019622,2.73089948107545,0.311087897103784,0.11391407822205,2.27402311344251,2.9432814187136,1.61291141057091,0.316270965863739,8,0.389466069851506,0.100343272028019,2.60388604831945,0.247295145221478,0.0949715696587732
"pm420q01t",4,"PATTERN03;PATTERN04;PATTERN06;PATTERN11",0.582005701183787,0.0235814703877971,0.552631578947368,0.603389830508475,0.550174495254964,0.0929962805945488,0.424391847468771,0.648401509364076,2.7940530980552,0.373486692836128,0.133672009703786,2.34388508362139,3.24730268029613,1.80457908131695,0.184610433196482,11,0.509607655030706,0.0786692883449258,2.65329003868507,0.322957926044991,0.121719797434978
