item,number_of_test_takers,n1,n0,cross_group_pairs,corresponding_score_levels,mean_positive_rank,somers_dxy,concordance_probability,weight_base_somers_dxy,weight_base_concordance_probability,remapped_concordance,positive_somers_dxy,weight_somers_dxy,weight_concordance_probability,concordance_imputed_for_weight,concordance_weight_source,remapping_validation_status,mann_whitney_u,concordant_pairs,discordant_pairs,tied_cross_pairs,rarity_pair,rarity_m,rarity_proportion,rarity_padded_pair,rarity_padded_m,rarity_padded_proportion,concordance_pair,concordance_m,concordance_proportion,concordance_padded_pair,concordance_padded_m,concordance_padded_proportion,rarity_weight_factor,concordance_weight_factor,raw_item_weight,status,weight_status,small_group_warning,small_group_message,validation_status,bootstrap_reps,bootstrap_valid_reps,bootstrap_dxy_se,bootstrap_dxy_ci_low,bootstrap_dxy_ci_high,bootstrap_C_se,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_remapped_concordance_se,bootstrap_remapped_concordance_ci_low,bootstrap_remapped_concordance_ci_high,bootstrap_raw_weight_se,bootstrap_raw_weight_ci_low,bootstrap_raw_weight_ci_high,permutation_reps,permutation_p_value,score_type,item_weight,weight_scale_divisor,minimum_item_weight,maximum_item_weight,max_total_score,minimum_achievable_total_score,maximum_achievable_total_score,maximum_is_true_maximum,zero_weight_count,negative_weight_count,non_finite_weight_count,scoring_model_status
"very_easy",100,90,10,900,10,51.5888888888889,0.217777777777778,0.608888888888889,0.217777777777778,0.608888888888889,0.217777777777778,0.217777777777778,0.217777777777778,0.608888888888889,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",548,479,283,138,"(90,100)",90,0.9,"(91,101)",91,0.900990099009901,"(21.7777777778,100)",21.7777777777778,0.217777777777778,"(79.2222222222,101)",79.2222222222222,0.784378437843785,1.10426101032441,1.24286367376318,1.37244589608524,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.37244589608524,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"easy",100,77,23,1771,10,53.3831168831169,0.250705815923207,0.625352907961604,0.250705815923207,0.625352907961604,0.250705815923207,0.250705815923207,0.250705815923207,0.625352907961604,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1107.5,978,534,259,"(77,100)",77,0.77,"(78,101)",78,0.772277227722772,"(25.0705815923,100)",25.0705815923207,0.250705815923207,"(75.9294184077,101)",75.9294184076793,0.751776419878012,1.25841169015167,1.28531631323087,1.61745707411237,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",1.61745707411237,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"medium_easy",100,65,35,2275,9,58.5153846153846,0.458021978021978,0.729010989010989,0.458021978021978,0.729010989010989,0.458021978021978,0.458021978021978,0.458021978021978,0.729010989010989,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1658.5,1507,465,303,"(65,100)",65,0.65,"(66,101)",66,0.653465346534654,"(45.8021978022,100)",45.8021978021978,0.458021978021978,"(55.1978021978,101)",55.1978021978022,0.546512893047546,1.42546577481483,1.60419737960807,2.28672846067894,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.28672846067894,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"medium_1",100,55,45,2475,9,60.3181818181818,0.436363636363637,0.718181818181818,0.436363636363637,0.718181818181818,0.436363636363637,0.436363636363637,0.436363636363637,0.718181818181818,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1777.5,1609,529,337,"(55,100)",55,0.55,"(56,101)",56,0.554455445544555,"(43.6363636364,100)",43.6363636363637,0.436363636363637,"(57.3636363636,101)",57.3636363636364,0.567956795679568,1.58976882610611,1.56570992709842,2.48911683282593,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.48911683282593,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"medium_2",100,41,59,2419,9,62.7560975609756,0.41546093427036,0.70773046713518,0.41546093427036,0.70773046713518,0.41546093427036,0.41546093427036,0.41546093427036,0.70773046713518,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1712,1553,548,318,"(41,100)",41,0.41,"(42,101)",42,0.415841584158416,"(41.5460934270,100)",41.546093427036,0.41546093427036,"(59.4539065730,101)",59.453906572964,0.588652540326376,1.87745089855789,1.52991918395484,2.87234814663697,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.87234814663697,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"medium_hard",100,31,69,2139,9,63.6612903225807,0.38148667601683,0.690743338008415,0.38148667601683,0.690743338008415,0.38148667601683,0.38148667601683,0.38148667601683,0.690743338008415,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1477.5,1334,518,287,"(31,100)",31,0.31,"(32,101)",32,0.316831683168317,"(38.1486676017,100)",38.148667601683,0.38148667601683,"(62.8513323983,101)",62.851332398317,0.622290419785317,2.14938461404153,1.47434838237471,3.16894172881322,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",3.16894172881322,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"hard",100,21,79,1659,9,62.0714285714286,0.292947558770344,0.646473779385172,0.292947558770344,0.646473779385172,0.292947558770344,0.292947558770344,0.292947558770344,0.646473779385172,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1072.5,964,478,217,"(21,100)",21,0.21,"(22,101)",22,0.217821782178218,"(29.2947558770,100)",29.2947558770344,0.292947558770344,"(71.7052441230,101)",71.7052441229656,0.709952912108571,2.52407806348294,1.34255663211995,3.38871774411751,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",3.38871774411751,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"very_hard",100,7,93,651,9,77.0714285714286,0.571428571428571,0.785714285714286,0.571428571428571,0.785714285714286,0.571428571428571,0.571428571428571,0.571428571428571,0.785714285714286,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",511.5,472,100,79,"(7,100)",7,0.07,"(8,101)",8,0.0792079207920792,"(57.1428571429,100)",57.1428571428571,0.571428571428571,"(43.8571428571,101)",43.8571428571429,0.434229137199434,3.53567897516142,1.83418291830938,6.48508198086668,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",6.48508198086668,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"high_disc",100,49,51,2499,9,64.9183673469388,0.565426170468188,0.782713085234094,0.565426170468188,0.782713085234094,0.565426170468188,0.565426170468188,0.565426170468188,0.782713085234094,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1956,1788,375,336,"(49,100)",49,0.49,"(50,101)",50,0.495049504950495,"(56.5426170468,100)",56.5426170468188,0.565426170468188,"(44.4573829532,101)",44.4573829531813,0.440172108447339,1.70309751141311,1.82058947298909,3.10064140075263,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",3.10064140075263,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
"low_disc",100,49,51,2499,9,54.9387755102041,0.17406962785114,0.58703481392557,0.17406962785114,0.58703481392557,0.17406962785114,0.17406962785114,0.17406962785114,0.58703481392557,FALSE,"empirical_Hmisc_somers2_linear_remap_above_0.5","passed",1467,1296,861,342,"(49,100)",49,0.49,"(50,101)",50,0.495049504950495,"(17.4069627851,100)",17.406962785114,0.17406962785114,"(83.5930372149,101)",83.593037214886,0.827653833810752,1.70309751141311,1.18916028712243,2.02525592566951,"ok","ok",FALSE,"","passed_extended_validation",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"item_rest",2.02525592566951,1,1,6.48508198086668,38.8095406718576,0,38.8095406718576,TRUE,0,0,0,"ok"
