person,number_correct,number_of_items,correct_item_pair,unweighted_proportion_correct,correct_items,formula_weighted_raw_score,formula_max_total_score,weighted_raw_score,max_total_score,normalized_weighted_score,normalized_weighted_percent,minimum_achievable_total_score,maximum_achievable_total_score,maximum_is_true_maximum,normalization_status,scoring_model_status,score_type,response_item_easy,response_item_medium,response_item_hard,response_item_reversed,response_item_noisy,response_item_threshold,response_item_constant_zero,response_item_constant_one,contribution_item_easy,contribution_item_medium,contribution_item_hard,contribution_item_reversed,contribution_item_noisy,contribution_item_threshold,contribution_item_constant_zero,contribution_item_constant_one
"P01",2,8,"(2,8)",0.25,"reversed|constant_one",3.02165124753198,18.7353487399358,3.02165124753198,18.7353487399358,0.161280758072632,16.1280758072632,0,18.7353487399358,TRUE,"ok","ok","item_rest",0,0,0,1,0,0,0,1,0,0,0,2.02165124753198,0,0,0,1
"P02",3,8,"(3,8)",0.375,"reversed|noisy|constant_one",4.82551337400334,18.7353487399358,4.82551337400334,18.7353487399358,0.257561972343615,25.7561972343615,0,18.7353487399358,TRUE,"ok","ok","item_rest",0,0,0,1,1,0,0,1,0,0,0,2.02165124753198,1.80386212647136,0,0,1
"P03",3,8,"(3,8)",0.375,"easy|reversed|constant_one",4.49989291672176,18.7353487399358,4.49989291672176,18.7353487399358,0.240181967209924,24.0181967209924,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,1,0,0,0,1,1.47824166918978,0,0,2.02165124753198,0,0,0,1
"P04",2,8,"(2,8)",0.25,"noisy|constant_one",2.80386212647136,18.7353487399358,2.80386212647136,18.7353487399358,0.149656254889705,14.9656254889705,0,18.7353487399358,TRUE,"ok","ok","item_rest",0,0,0,0,1,0,0,1,0,0,0,0,1.80386212647136,0,0,1
"P05",3,8,"(3,8)",0.375,"easy|reversed|constant_one",4.49989291672176,18.7353487399358,4.49989291672176,18.7353487399358,0.240181967209924,24.0181967209924,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,1,0,0,0,1,1.47824166918978,0,0,2.02165124753198,0,0,0,1
"P06",5,8,"(5,8)",0.625,"easy|hard|reversed|noisy|constant_one",9.94940116452775,18.7353487399358,9.94940116452775,18.7353487399358,0.53104969128863,53.1049691288631,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,1,1,1,0,0,1,1.47824166918978,0,3.64564612133464,2.02165124753198,1.80386212647136,0,0,1
"P07",3,8,"(3,8)",0.375,"easy|reversed|constant_one",4.49989291672176,18.7353487399358,4.49989291672176,18.7353487399358,0.240181967209924,24.0181967209924,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,1,0,0,0,1,1.47824166918978,0,0,2.02165124753198,0,0,0,1
"P08",4,8,"(4,8)",0.5,"easy|reversed|noisy|constant_one",6.30375504319312,18.7353487399358,6.30375504319312,18.7353487399358,0.336463181480907,33.6463181480907,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,1,1,0,0,1,1.47824166918978,0,0,2.02165124753198,1.80386212647136,0,0,1
"P09",3,8,"(3,8)",0.375,"easy|medium|constant_one",4.70415496193856,18.7353487399358,4.70415496193856,18.7353487399358,0.251084462170234,25.1084462170234,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,0,0,0,1,1.47824166918978,2.22591329274878,0,0,0,0,0,1
"P10",3,8,"(3,8)",0.375,"easy|noisy|constant_one",4.28210379566113,18.7353487399358,4.28210379566113,18.7353487399358,0.228557464026997,22.8557464026997,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,0,1,0,0,1,1.47824166918978,0,0,0,1.80386212647136,0,0,1
"P11",2,8,"(2,8)",0.25,"easy|constant_one",2.47824166918978,18.7353487399358,2.47824166918978,18.7353487399358,0.132276249756014,13.2276249756014,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,0,0,0,0,1,1.47824166918978,0,0,0,0,0,0,1
"P12",5,8,"(5,8)",0.625,"easy|medium|reversed|noisy|constant_one",8.5296683359419,18.7353487399358,8.5296683359419,18.7353487399358,0.455271393895127,45.5271393895127,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,1,1,0,0,1,1.47824166918978,2.22591329274878,0,2.02165124753198,1.80386212647136,0,0,1
"P13",4,8,"(4,8)",0.5,"easy|medium|threshold|constant_one",7.04531341972965,18.7353487399358,7.04531341972965,18.7353487399358,0.376043889949699,37.6043889949699,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,0,1,0,1,1.47824166918978,2.22591329274878,0,0,0,2.34115845779109,0,1
"P14",5,8,"(5,8)",0.625,"easy|medium|noisy|threshold|constant_one",8.84917554620101,18.7353487399358,8.84917554620101,18.7353487399358,0.472325104220682,47.2325104220682,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,1,1,0,1,1.47824166918978,2.22591329274878,0,0,1.80386212647136,2.34115845779109,0,1
"P15",4,8,"(4,8)",0.5,"easy|medium|threshold|constant_one",7.04531341972965,18.7353487399358,7.04531341972965,18.7353487399358,0.376043889949699,37.6043889949699,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,0,1,0,1,1.47824166918978,2.22591329274878,0,0,0,2.34115845779109,0,1
"P16",4,8,"(4,8)",0.5,"easy|noisy|threshold|constant_one",6.62326225345223,18.7353487399358,6.62326225345223,18.7353487399358,0.353516891806462,35.3516891806462,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,0,0,0,1,1,0,1,1.47824166918978,0,0,0,1.80386212647136,2.34115845779109,0,1
"P17",4,8,"(4,8)",0.5,"easy|medium|threshold|constant_one",7.04531341972965,18.7353487399358,7.04531341972965,18.7353487399358,0.376043889949699,37.6043889949699,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,0,1,0,1,1.47824166918978,2.22591329274878,0,0,0,2.34115845779109,0,1
"P18",5,8,"(5,8)",0.625,"easy|medium|noisy|threshold|constant_one",8.84917554620101,18.7353487399358,8.84917554620101,18.7353487399358,0.472325104220682,47.2325104220682,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,1,1,0,1,1.47824166918978,2.22591329274878,0,0,1.80386212647136,2.34115845779109,0,1
"P19",4,8,"(4,8)",0.5,"medium|hard|threshold|constant_one",9.21271787187451,18.7353487399358,9.21271787187451,18.7353487399358,0.49172919062013,49.172919062013,0,18.7353487399358,TRUE,"ok","ok","item_rest",0,1,1,0,0,1,0,1,0,2.22591329274878,3.64564612133464,0,0,2.34115845779109,0,1
"P20",6,8,"(6,8)",0.75,"easy|medium|hard|noisy|threshold|constant_one",12.4948216675356,18.7353487399358,12.4948216675356,18.7353487399358,0.666911614028405,66.6911614028405,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,1,0,1,1,0,1,1.47824166918978,2.22591329274878,3.64564612133464,0,1.80386212647136,2.34115845779109,0,1
"P21",4,8,"(4,8)",0.5,"easy|medium|threshold|constant_one",7.04531341972965,18.7353487399358,7.04531341972965,18.7353487399358,0.376043889949699,37.6043889949699,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,0,0,0,1,0,1,1.47824166918978,2.22591329274878,0,0,0,2.34115845779109,0,1
"P22",6,8,"(6,8)",0.75,"easy|medium|hard|noisy|threshold|constant_one",12.4948216675356,18.7353487399358,12.4948216675356,18.7353487399358,0.666911614028405,66.6911614028405,0,18.7353487399358,TRUE,"ok","ok","item_rest",1,1,1,0,1,1,0,1,1.47824166918978,2.22591329274878,3.64564612133464,0,1.80386212647136,2.34115845779109,0,1
