person,number_correct,number_of_items,correct_item_pair,unweighted_proportion_correct,correct_items,formula_weighted_raw_score,formula_max_total_score,weighted_raw_score,max_total_score,normalized_weighted_score,normalized_weighted_percent,minimum_achievable_total_score,maximum_achievable_total_score,maximum_is_true_maximum,normalization_status,scoring_model_status,score_type,response_item_very_easy,response_item_easy,response_item_medium_easy,response_item_medium_1,response_item_medium_2,response_item_medium_hard,response_item_hard,response_item_very_hard,response_item_high_disc,response_item_low_disc,response_item_noisy,response_item_reversed,response_item_constant_zero,response_item_constant_one,contribution_item_very_easy,contribution_item_easy,contribution_item_medium_easy,contribution_item_medium_1,contribution_item_medium_2,contribution_item_medium_hard,contribution_item_hard,contribution_item_very_hard,contribution_item_high_disc,contribution_item_low_disc,contribution_item_noisy,contribution_item_reversed,contribution_item_constant_zero,contribution_item_constant_one
"P001",9,14,"(9,14)",0.642857142857143,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|high_disc|noisy|constant_one",19.6875771727539,38.8095406718576,19.6875771727539,38.8095406718576,0.50728704416309,50.728704416309,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,0,0,1,0,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,0,0,3.10064140075263,0,1.77989763284857,0,0,1
"P002",6,14,"(6,14)",0.428571428571429,"very_easy|medium_hard|high_disc|low_disc|reversed|constant_one",12.2750722829294,38.8095406718576,12.2750722829294,38.8095406718576,0.316290068638471,31.6290068638471,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,0,0,0,1,0,0,1,1,0,1,0,1,1.37244589608524,0,0,0,0,3.16894172881322,0,0,3.10064140075263,2.02525592566951,0,1.60778733160879,0,1
"P003",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|medium_2|low_disc|noisy|constant_one",15.4432499688575,38.8095406718576,15.4432499688575,38.8095406718576,0.397924059432532,39.7924059432532,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,0,0,0,0,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,0,0,0,0,2.02525592566951,1.77989763284857,0,0,1
"P004",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|high_disc|noisy|reversed|constant_one",15.2540746289125,38.8095406718576,15.2540746289125,38.8095406718576,0.39304960493835,39.304960493835,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,0,0,0,1,0,1,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,0,0,0,3.10064140075263,0,1.77989763284857,1.60778733160879,0,1
"P005",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|medium_2|high_disc|low_disc|constant_one",16.7639937367616,38.8095406718576,16.7639937367616,38.8095406718576,0.431955479156646,43.1955479156646,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,0,0,0,1,1,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,0,0,0,3.10064140075263,2.02525592566951,0,0,0,1
"P006",9,14,"(9,14)",0.642857142857143,"very_easy|easy|medium_easy|medium_1|medium_2|high_disc|low_disc|noisy|constant_one",18.5438913696102,38.8095406718576,18.5438913696102,38.8095406718576,0.477817852223567,47.7817852223567,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,0,0,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,0,0,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P007",7,14,"(7,14)",0.5,"very_easy|medium_easy|medium_1|medium_2|noisy|reversed|constant_one",13.4083243006844,38.8095406718576,13.4083243006844,38.8095406718576,0.345490414690926,34.5490414690926,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,1,1,0,0,0,0,0,1,1,0,1,1.37244589608524,0,2.28672846067894,2.48911683282593,2.87234814663697,0,0,0,0,0,1.77989763284857,1.60778733160879,0,1
"P008",4,14,"(4,14)",0.285714285714286,"very_easy|easy|reversed|constant_one",5.5976903018064,38.8095406718576,5.5976903018064,38.8095406718576,0.144234902163259,14.4234902163259,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,1.61745707411237,0,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P009",8,14,"(8,14)",0.571428571428571,"easy|medium_2|medium_hard|high_disc|low_disc|noisy|reversed|constant_one",17.1723292404421,38.8095406718576,17.1723292404421,38.8095406718576,0.442477002900846,44.2477002900846,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1.61745707411237,0,0,2.87234814663697,3.16894172881322,0,0,3.10064140075263,2.02525592566951,1.77989763284857,1.60778733160879,0,1
"P010",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|medium_hard|hard|high_disc|constant_one",18.4240491373858,38.8095406718576,18.4240491373858,38.8095406718576,0.474729894207325,47.4729894207325,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,1,1,0,1,0,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,3.16894172881322,3.38871774411751,0,3.10064140075263,0,0,0,0,1
