person,number_correct,number_of_items,correct_item_pair,unweighted_proportion_correct,correct_items,formula_weighted_raw_score,formula_max_total_score,weighted_raw_score,max_total_score,normalized_weighted_score,normalized_weighted_percent,minimum_achievable_total_score,maximum_achievable_total_score,maximum_is_true_maximum,normalization_status,scoring_model_status,score_type,response_item_pm00fq01,response_item_pm033q01,response_item_pm034q01t,response_item_pm155q01,response_item_pm155q04t,response_item_pm192q01t,response_item_pm305q01,response_item_pm406q01,response_item_pm406q02,response_item_pm411q01,response_item_pm411q02,response_item_pm423q01,response_item_pm442q02,response_item_pm474q01,response_item_pm496q01t,response_item_pm496q02,response_item_pm564q01,response_item_pm564q02,response_item_pm571q01,response_item_pm603q01t,response_item_pm803q01t,response_item_pm903q03,response_item_pm918q01,response_item_pm918q02,response_item_pm918q05,response_item_pm923q01,response_item_pm923q03,response_item_pm923q04,response_item_pm924q02,response_item_pm995q01,response_item_pm995q02,response_item_pm995q03,contribution_item_pm00fq01,contribution_item_pm033q01,contribution_item_pm034q01t,contribution_item_pm155q01,contribution_item_pm155q04t,contribution_item_pm192q01t,contribution_item_pm305q01,contribution_item_pm406q01,contribution_item_pm406q02,contribution_item_pm411q01,contribution_item_pm411q02,contribution_item_pm423q01,contribution_item_pm442q02,contribution_item_pm474q01,contribution_item_pm496q01t,contribution_item_pm496q02,contribution_item_pm564q01,contribution_item_pm564q02,contribution_item_pm571q01,contribution_item_pm603q01t,contribution_item_pm803q01t,contribution_item_pm903q03,contribution_item_pm918q01,contribution_item_pm918q02,contribution_item_pm918q05,contribution_item_pm923q01,contribution_item_pm923q03,contribution_item_pm923q04,contribution_item_pm924q02,contribution_item_pm995q01,contribution_item_pm995q02,contribution_item_pm995q03
"PISA0001",5,32,"(5,32)",0.15625,"pm155q04t|pm411q02|pm571q01|pm918q01|pm918q05",12.7050058159331,124.967526068713,7.01012946916498,68.9522342511883,0.101666458604192,10.1666458604192,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.20257572297271,0,0,0,0,0,1.60594277149801,0,0,0,0,0,0,0,1.83236153892946,0,0,0,1,0,1.36924943576479,0,0,0,0,0,0,0
"PISA0006",6,32,"(6,32)",0.1875,"pm155q01|pm305q01|pm423q01|pm571q01|pm603q01t|pm918q01",14.5240855629022,124.967526068713,8.01382712391123,68.9522342511883,0.116222878213306,11.6222878213306,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2942101262835,0,0,1.27673050543826,0,0,0,0,1.11464269391646,0,0,0,0,0,0,1.83236153892946,1.49588225934354,0,0,1,0,0,0,0,0,0,0,0,0
"PISA0015",15,32,"(15,32)",0.46875,"pm033q01|pm034q01t|pm155q01|pm305q01|pm411q01|pm423q01|pm442q02|pm474q01|pm496q01t|pm496q02|pm564q01|pm603q01t|pm923q01|pm924q02|pm995q01",44.3324698259511,124.967526068713,24.4609374974098,68.9522342511883,0.354751920123432,35.4751920123432,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1.0000984769457,1.96771446709354,1.2942101262835,0,0,1.27673050543826,0,0,1.93071340341164,0,1.11464269391646,2.58139463965431,1.03016645367673,1.62787399540524,1.37082364536879,1.45473339099819,0,0,1.49588225934354,0,0,0,0,0,1.75539915546177,0,0,2.08739675468112,2.47315752973098,0,0
"PISA0017",8,32,"(8,32)",0.25,"pm00fq01|pm033q01|pm411q02|pm423q01|pm496q02|pm918q01|pm918q02|pm995q03",21.2538305400738,124.967526068713,11.7270394016476,68.9522342511883,0.170074828306894,17.0074828306894,0,68.9522342511883,TRUE,"ok","ok","item_rest",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2.14097710825686,1.0000984769457,0,0,0,0,0,0,0,0,1.60594277149801,1.11464269391646,0,0,0,1.37082364536879,0,0,0,0,0,0,1,1.25755024269656,0,0,0,0,0,0,0,2.23700446296524
"PISA0030",10,32,"(10,32)",0.3125,"pm033q01|pm155q01|pm305q01|pm411q01|pm474q01|pm571q01|pm918q01|pm918q02|pm918q05|pm923q03",24.4723600812679,124.967526068713,13.5028991777847,68.9522342511883,0.195829755546347,19.5829755546347,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1.0000984769457,0,1.2942101262835,0,0,1.27673050543826,0,0,1.93071340341164,0,0,0,1.03016645367673,0,0,0,0,1.83236153892946,0,0,0,1,1.25755024269656,1.36924943576479,0,1.51181899463805,0,0,0,0,0
"PISA0035",17,32,"(17,32)",0.53125,"pm00fq01|pm033q01|pm034q01t|pm155q01|pm192q01t|pm406q01|pm411q02|pm423q01|pm474q01|pm496q02|pm571q01|pm603q01t|pm918q01|pm918q02|pm918q05|pm923q03|pm995q01",49.5361687923156,124.967526068713,27.3321367712446,68.9522342511883,0.396392329676737,39.6392329676737,0,68.9522342511883,TRUE,"ok","ok","item_rest",1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,2.14097710825686,1.0000984769457,1.96771446709354,1.2942101262835,0,2.05942193849789,0,2.80811908860377,0,0,1.60594277149801,1.11464269391646,0,1.03016645367673,0,1.37082364536879,0,0,1.83236153892946,1.49588225934354,0,0,1,1.25755024269656,1.36924943576479,0,1.51181899463805,0,0,2.47315752973098,0,0
"PISA0039",9,32,"(9,32)",0.28125,"pm033q01|pm155q01|pm155q04t|pm192q01t|pm474q01|pm603q01t|pm918q02|pm918q05|pm923q03",22.149026204579,124.967526068713,12.2209736508195,68.9522342511883,0.177238254619847,17.7238254619847,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1.0000984769457,0,1.2942101262835,1.20257572297271,2.05942193849789,0,0,0,0,0,0,0,1.03016645367673,0,0,0,0,0,1.49588225934354,0,0,0,1.25755024269656,1.36924943576479,0,1.51181899463805,0,0,0,0,0
"PISA0080",25,32,"(25,32)",0.78125,"pm00fq01|pm033q01|pm034q01t|pm155q01|pm155q04t|pm192q01t|pm305q01|pm411q01|pm411q02|pm423q01|pm442q02|pm474q01|pm496q01t|pm496q02|pm564q01|pm571q01|pm603q01t|pm803q01t|pm918q01|pm918q02|pm918q05|pm923q01|pm923q03|pm924q02|pm995q01",75.1849805682846,124.967526068713,41.4841563676702,68.9522342511883,0.601636144472799,60.1636144472799,0,68.9522342511883,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,2.14097710825686,1.0000984769457,1.96771446709354,1.2942101262835,1.20257572297271,2.05942193849789,1.27673050543826,0,0,1.93071340341164,1.60594277149801,1.11464269391646,2.58139463965431,1.03016645367673,1.62787399540524,1.37082364536879,1.45473339099819,0,1.83236153892946,1.49588225934354,3.04332111700611,0,1,1.25755024269656,1.36924943576479,1.75539915546177,1.51181899463805,0,2.08739675468112,2.47315752973098,0,0
"PISA0087",19,32,"(19,32)",0.59375,"pm033q01|pm155q01|pm155q04t|pm192q01t|pm411q01|pm411q02|pm423q01|pm442q02|pm474q01|pm496q01t|pm496q02|pm564q02|pm571q01|pm603q01t|pm918q01|pm918q02|pm918q05|pm924q02|pm995q01",54.5661341119799,124.967526068713,30.1074765567673,68.9522342511883,0.436642508886483,43.6642508886483,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1.0000984769457,0,1.2942101262835,1.20257572297271,2.05942193849789,0,0,0,1.93071340341164,1.60594277149801,1.11464269391646,2.58139463965431,1.03016645367673,1.62787399540524,1.37082364536879,0,1.77401492798991,1.83236153892946,1.49588225934354,0,0,1,1.25755024269656,1.36924943576479,0,0,0,2.08739675468112,2.47315752973098,0,0
"PISA0088",13,32,"(13,32)",0.40625,"pm033q01|pm034q01t|pm155q01|pm155q04t|pm411q01|pm423q01|pm474q01|pm496q01t|pm496q02|pm918q01|pm918q02|pm918q05|pm923q03",32.0382026103499,124.967526068713,17.6774376581737,68.9522342511883,0.256372224194737,25.6372224194737,0,68.9522342511883,TRUE,"ok","ok","item_rest",0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1.0000984769457,1.96771446709354,1.2942101262835,1.20257572297271,0,0,0,0,1.93071340341164,0,1.11464269391646,0,1.03016645367673,1.62787399540524,1.37082364536879,0,0,0,0,0,0,1,1.25755024269656,1.36924943576479,0,1.51181899463805,0,0,0,0,0
